Wavelength (AA)	Flux (erg s-1 cm-2 A-1)
5626.626626626627	1.309209212072781e-16
5634.6346346346345	1.3823318160268307e-16
5642.642642642642	1.3754260965359935e-16
5650.65065065065	1.3046388939458958e-16
5658.658658658659	1.3764558999856275e-16
5666.666666666667	1.4551133857537854e-16
5674.674674674675	1.4138239842179963e-16
5682.682682682683	1.3679259506095506e-16
5690.690690690692	1.311510279503496e-16
5698.698698698699	1.3437020169098295e-16
5706.706706706707	1.4234170097967625e-16
5714.714714714715	1.3404550959508147e-16
5722.722722722723	1.328326697192233e-16
5730.730730730731	1.3911530009167048e-16
5738.738738738739	1.3661698151516585e-16
5746.746746746747	1.2903885877014759e-16
5754.754754754755	1.3438730409037072e-16
5762.762762762763	1.2955939583985084e-16
5770.7707707707705	1.2853788429480953e-16
5778.778778778778	1.362049924369465e-16
5786.786786786787	1.219010977289938e-16
5794.794794794795	1.0120634358055363e-16
5802.802802802803	1.1788456680472965e-16
5810.810810810811	1.15157900694193e-16
5818.81881881882	1.2968505861596708e-16
5826.8268268268275	1.3590800528796486e-16
5834.834834834835	1.213763540016754e-16
5842.842842842843	1.3641106000003048e-16
5850.850850850851	1.4057221444000707e-16
5858.858858858859	1.3252394689101238e-16
5866.866866866867	1.4382992866058562e-16
5874.874874874875	1.4988274396415193e-16
5882.882882882883	1.401911900298425e-16
5890.890890890891	1.4552685494061898e-16
5898.898898898899	1.2584419032114614e-16
5906.906906906907	1.2390439176780216e-16
5914.914914914915	1.4431987381375933e-16
5922.922922922923	1.5028046635750948e-16
5930.930930930931	1.5448783370068194e-16
5938.93893893894	1.441121134781688e-16
5946.946946946948	1.5820366754984567e-16
5954.954954954956	1.5757089526845802e-16
5962.9629629629635	1.4857965462519192e-16
5970.970970970971	1.3487887969501367e-16
5978.978978978979	1.496731818304406e-16
5986.986986986987	1.472038953259912e-16
5994.994994994995	1.5253117332691284e-16
6003.003003003003	1.633069000642383e-16
6011.011011011011	1.5425370813422932e-16
6019.019019019019	1.4537223669638076e-16
6027.027027027027	1.5651789305980174e-16
6035.035035035035	1.5460622557868142e-16
6043.043043043043	1.452004745933416e-16
6051.051051051051	1.4313793058153923e-16
6059.059059059059	1.3765449338439998e-16
6067.067067067068	1.5126756189375286e-16
6075.075075075076	1.5420031200511737e-16
6083.083083083084	1.4856271716644636e-16
6091.091091091092	1.4765676439574261e-16
6099.0990990990995	1.5593764415713644e-16
6107.107107107107	1.4932016548607176e-16
6115.115115115115	1.4922569981705524e-16
6123.123123123123	1.5117145097434898e-16
6131.131131131131	1.4911315855373576e-16
6139.139139139139	1.4388501889138243e-16
6147.147147147147	1.5061034054546577e-16
6155.155155155156	1.521415550818504e-16
6163.1631631631635	1.5143906456234455e-16
6171.171171171171	1.4875505173904956e-16
6179.179179179179	1.4767668746520556e-16
6187.187187187188	1.554575323509674e-16
6195.195195195196	1.50557838972548e-16
6203.203203203204	1.5306573718464602e-16
6211.211211211212	1.5634761147459728e-16
6219.21921921922	1.5853865745303759e-16
6227.227227227228	1.5580148654560555e-16
6235.235235235235	1.512434659944996e-16
6243.243243243243	1.506976554518194e-16
6251.251251251251	1.5470506139263382e-16
6259.259259259259	1.4507831468830404e-16
6267.267267267267	1.4453740808550713e-16
6275.275275275275	1.4756328482529564e-16
6283.283283283284	1.5648426462818641e-16
6291.291291291292	1.5204713046753123e-16
6299.2992992992995	1.489735151945026e-16
6307.307307307307	1.5268548369259202e-16
6315.315315315316	1.5322457348321764e-16
6323.323323323324	1.5109116806246115e-16
6331.331331331332	1.5377136160733704e-16
6339.33933933934	1.480889013326859e-16
6347.347347347348	1.497965490433433e-16
6355.355355355356	1.5593905960323984e-16
6363.3633633633635	1.5702551768544298e-16
6371.371371371371	1.5260239796382193e-16
6379.379379379379	1.5630810873978316e-16
6387.387387387387	1.509799009993407e-16
6395.395395395395	1.4528204872725758e-16
6403.403403403404	1.5092230385525579e-16
6411.411411411412	1.6009818270952923e-16
6419.41941941942	1.5861131581492414e-16
6427.427427427428	1.5960174130432654e-16
6435.435435435436	1.5936933316352167e-16
6443.443443443444	1.5716423000262654e-16
6451.451451451452	1.564237825784866e-16
6459.45945945946	1.5833434526233585e-16
6467.467467467468	1.6046522248616774e-16
6475.475475475476	1.5354574457259546e-16
6483.483483483484	1.4802763149505458e-16
6491.491491491492	1.5683475522151637e-16
6499.4994994994995	1.611203771985607e-16
6507.507507507507	1.5993436509195795e-16
6515.515515515515	1.6010030347846606e-16
6523.523523523523	1.6328645964918183e-16
6531.531531531532	1.6386671573980651e-16
6539.53953953954	1.6259656699383368e-16
6547.547547547548	1.6323996509223744e-16
6555.555555555556	1.5841699851592176e-16
6563.5635635635645	1.527500267259388e-16
6571.571571571572	1.5590793326725248e-16
6579.57957957958	1.5990642300838555e-16
6587.587587587588	1.5645024866735236e-16
6595.595595595596	1.4040010867420418e-16
6603.603603603604	1.2059684484398905e-16
6611.611611611612	1.4165199957621535e-16
6619.61961961962	1.5532530255528922e-16
6627.627627627628	1.538804426527338e-16
