id,ra,dec,zml,zml_err,odds,model_classification,probnrel,probrel,probltg,probetg,probnrel_bin,probrel_bin,probltg_bin,probetg_bin,r_petro,g_auto,e_g_auto,r_auto,e_r_auto,u_auto,e_u_auto,i_auto,e_i_auto,z_auto,e_z_auto,prob_gal,prob_star,kron_radius,photoflag_r,fwhm_r,brightstarflag,a,b,fwhm,fwhm_n,q,distance_k4,distance_k5,distance_k10,density_k4,density_k5,density_k10,separation,PROB_GAL,J0378_auto,J0395_auto,J0410_auto,J0430_auto,J0515_auto,J0660_auto,J0861_auto,e_J0378_auto,e_J0395_auto,e_J0410_auto,e_J0430_auto,e_J0515_auto,e_J0660_auto,e_J0861_auto
iDR3.SPLUS-n02s25.045308,183.2600424523636,-0.6572127092715053,0.197,0.0137259999999999,0.8917069999999999,ETG,0.6634595,0.354264,0.1712803,0.93428844,1.0,0.0,0.0,1.0,17.7975,19.253811167074872,0.1016172543168068,17.82630153023055,0.025451248511672,98.97019010211145,21.95604705810547,17.298804570806556,0.0210380386561155,17.077788919196603,0.0303149558603763,0.99,0.01,4.7538295,2,3.3566394,0,3.0944884,2.606773,3.274402,1.5932894,0.8423922,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0.99,99.0,99.0,99.0,99.0,20.88511,17.79927,17.25774,21.486486,20.675968,20.919033,20.96579,0.91723263,0.027945356,0.045136888
iDR3.SPLUS-n02s25.053651,183.52056454753304,-0.8940770841776698,0.0825,0.004632,0.996046,ETG,0.11447915,0.8485888,0.02106701,0.99200034,0.0,1.0,0.0,1.0,15.823154,16.703340553574506,0.0206904485821723,15.82002104672086,0.0087176896631717,18.456635203606563,0.0980822294950485,15.381126736957585,0.0077186510898172,15.07368209983632,0.0103500029072165,0.99,0.01,4.588876,2,3.6196284,0,6.599366,6.0770254,3.4145827,1.6614999,0.92084986,0.3551068881320642,0.5567749577625385,0.962447424111844,88.94130735912302,45.22434939171283,30.26966967689233,0.0,0.99,18.319672,17.580643,17.778458,17.622543,16.310547,15.673909,15.172407,0.14434382,0.12398079,0.14082009,0.11830294,0.029413443,0.008646361,0.014340457
iDR3.SPLUS-n02n22.030679,178.64799118713154,1.3733719026446845,0.1365,0.017119,0.789014,ETG,0.79937214,0.22349286,0.16821668,0.92960453,1.0,0.0,0.0,1.0,17.94821,18.66115884151897,0.0352106280624866,17.945432581539176,0.0211608652025461,20.63260783441354,0.2285589724779129,17.571769096570065,0.0227113459259271,17.34985585683012,0.0348095633089542,1.0,0.0,4.4890046,0,3.8146267,0,2.656713,2.4339337,3.6719568,1.6356953,0.9161448,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,19.90971,19.662697,19.277685,18.940811,18.21577,17.800749,17.340405,0.1938285,0.26981747,0.17275164,0.12586945,0.053491604,0.020559415,0.04186406
iDR3.SPLUS-n02n22.035102,179.35786203225342,1.4700760658480014,0.1305,0.010936,0.916704,ETG,0.3447312,0.63939726,0.023705335,0.9945058,0.0,1.0,0.0,1.0,16.744837,17.69560829168427,0.0283874776214361,16.78570291227419,0.0146147552877664,20.16169664748672,0.3195139467716217,16.386001341202622,0.0150542585179209,16.097290995893065,0.0220087226480245,1.0,0.0,4.581713,2,4.3251295,0,5.213233,4.738842,4.2383165,1.8879837,0.90900254,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,19.243147,19.070427,18.736652,18.439924,17.198793,16.630281,16.106638,0.22421384,0.33471617,0.20711267,0.15578878,0.041014012,0.013956571,0.026826426
iDR3.SPLUS-n03s22.046164,179.7792742132696,-2.051703997982176,0.1,0.017255,0.788666,ETG,0.4029346,0.58893,0.05884838,0.9729797,0.0,1.0,0.0,1.0,16.821089,17.55322256145226,0.0202814415097236,16.82023755387736,0.0116522144526243,19.41888446399977,0.1299310326576233,16.498587648448368,0.0124440751969814,16.32151418089101,0.0197265017777681,0.99,0.01,4.3085294,2,4.6609426,0,4.690875,3.7159243,4.615048,1.5044752,0.79216015,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0.99,19.232443,19.706718,18.692732,18.851696,17.296288,16.768696,16.379702,0.17200848,0.46471888,0.16198258,0.18117522,0.03644926,0.011960666,0.024810249
iDR3.SPLUS-n03s24.059269,181.48868145354027,-2.029514322475725,0.2045,0.014978,0.736554,ETG,0.7113882,0.30852872,0.1650172,0.9295294,1.0,0.0,0.0,1.0,17.80644,18.91289214172632,0.067731462419033,17.844037330300853,0.0274588521569967,21.080024394561303,0.6517210006713867,17.263464162073436,0.0248802211135625,17.015275858457535,0.0359796471893787,1.0,0.0,5.1988783,2,3.4446964,0,4.2441263,3.3575594,3.548648,1.635053,0.79110736,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,21.098793,20.646189,20.30345,99.0,18.438988,17.621782,17.163126,0.9072503,1.0419844,0.7011309,21.15339,0.101035625,0.02573388,0.051915534
iDR3.SPLUS-n03s24.059399,182.20882184218368,-2.029421591373118,0.1465,0.009384,0.921886,ETG,0.30584452,0.67317647,0.022041252,0.99283,0.0,1.0,0.0,1.0,16.305882,17.279785292434937,0.0223791617900133,16.342608230423433,0.0104616461321711,18.72495877747227,0.1123889535665512,15.880730423043428,0.0102579155936837,15.571818848083096,0.0140458829700946,1.0,0.0,4.7683496,3,3.8409653,0,6.5521593,5.4928207,3.814819,1.7576923,0.8383222,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,18.302958,17.835499,18.142557,17.886772,17.000723,16.218193,15.626348,0.103986986,0.11783102,0.14010356,0.107991606,0.03954457,0.010703131,0.018631836
iDR3.SPLUS-n03s26.024348,185.42562213873927,-2.8522984768513435,0.09,0.012202,0.8247899999999999,ETG,0.15879376,0.8053085,0.055151694,0.97967225,0.0,1.0,0.0,1.0,16.326937,17.166246396769274,0.0154981827363371,16.302279704457135,0.0079030403867363,19.571466681936982,0.1407181322574615,15.847026051003343,0.0076945037581026,15.574213680390503,0.0111927725374698,1.0,0.0,4.100799,2,3.6067872,0,5.141336,4.3525114,3.6842935,1.5553541,0.84657204,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,18.707731,18.718172,18.193092,18.240002,16.805708,16.220219,15.640493,0.10650122,0.18743162,0.10375601,0.10851655,0.024688436,0.008254894,0.014628934
iDR3.SPLUS-n11s35.009323,197.12174505946788,-14.030083780593536,0.216,0.010501,0.8912680000000001,ETG,0.4847208,0.51631457,0.09686911,0.95836663,0.0,0.0,0.0,1.0,17.412325,18.40894583143594,0.0658368319272995,17.402499865336537,0.0308029036968946,20.889246916843444,0.6653473377227783,16.941338646819133,0.0320185907185077,16.432794083578397,0.0402985289692878,1.0,0.0,5.8968444,2,5.818241,0,4.7989373,4.53531,5.2946043,1.6322085,0.94506544,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,99.0,18.61432,18.981445,19.612976,18.225218,17.16659,16.611118,20.98331,0.24304855,0.3086602,0.553895,0.12429686,0.026998159,0.048708457
iDR3.SPLUS-n03s26.038526,184.9487560125366,-2.544419102395122,0.294,0.0092319999999999,0.954286,ETG,0.7855089,0.2368141,0.10664105,0.9618448,1.0,0.0,0.0,1.0,17.644308,19.12698402587491,0.0910387188196182,17.70813979572089,0.0280635990202426,98.9548951066078,22.039470672607425,17.074505537298855,0.023621654137969,16.974118832181237,0.0413520373404026,1.0,0.0,5.3266983,3,3.6402674,0,4.1343746,3.3897848,3.60621,1.5223906,0.81990266,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.0,21.843008,19.491991,20.744555,19.598518,18.911894,17.590847,16.902151,2.0319982,0.41183865,1.1076035,0.3882903,0.16639541,0.028163264,0.047392447
